Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
key;start_date;end_date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
Pertempuran Surabaya;1945-10-27;1945-11-20;1945;10;27;1945;11;20
Peristiwa 19 November;1945-11-19;;1945;11;19;;;
Peristiwa Tiga Maret;1947-03-03;;1947;03;03;;;
Pertempuran Kumai;1946-01-14;;1946;01;14;;;
Revolusi Nasional Indonesia;1945–09-29 ;1949-12-27;1945;09;29;1949;12;27
Kampanye Hindia Belanda;1941-12-08;1942-03-09;1941;12;08;1942;03;09
Operasi 17 Agustus;1958-04-17;1958-05-24;1958;04;17;1958;05;24
Konflik Papua;1962-10-01;;1962;10;01;;;
Perang Jawa (1741–1743);1-February-1741;1-January-1743;1741;2;;1743;;
;;;;;;;;
Perang Kuning;1-January-1741;1-January-1750;1741;;;1750;;
Perang Diponegoro;21 July 1825;9 February 1830;1825;6;21;1830;2;9
;;;;;;;;
Perang Padri;1 January 1803;1 January 1837;1803;;;1837;;
;;;;;;;;
Perang Aceh;1 January 1873;01-Jan-04;1873;;;1904;;
;;;;;;;;
Perang Belasting;15-Jun-08;16-Jun-08;1908;6;15;1908;6;16
;;;;;;;;
Serbuan Yuan-Mongol ke Jawa;22 January 1293;1 August 1293;1293;1;22;1293;7;
;;;;;;;;
Pertempuran Lima Hari;15-Oct-45;19-Oct-45;1945;10;15;1945;10;19
;;;;;;;;
Perang Bayu;5 August 1771;11 October 1772;1771;7;5;1772;10;11
;;;;;;;;
Geger Sepehi;19 June 1812;20 June 1812;1812;6;19;1812;6;20
;;;;;;;;
Pemberontakan Raden Ronggo;20 November 1810;17 December 1810;1810;11;20;1810;12;17
;;;;;;;;
Pertempuran Melaka (1641);1 January 1641;;1641;;;;;
;;;;;;;;
Perang Aceh;1 january 1873;01-Jan-04;1873;;;1904;;
Perang Bubat;1-January-1357;;1357;;;;;
;;;;;;;;
Kampanye Hindia Belanda;08-Dec-41;09-Mar-42;1941;12;8;1942;3;9
;;;;;;;;
Perang Regreg;1-january-1404;1-january-1406;1404;;;1406;;
;;;;;;;;
Perang Takhta Jawa Kedua;1-january-1719;1-january-1723;1719;;;1723;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Perang Takhta Jawa Pertama;1-january-1704;1-january-1708;1704;;;1708;;
;;;;;;;;
Perang Takhta Jawa Ketiga;15-December-1749;1 February-1757;1749;12;15;1757;2;
;;;;;;;;
Intervensi Belanda di Bali (1908);28-Apr-08;;1908;4;28;;4;
;;;;;;;;
Penyerbuan Meester Cornelis;14-August-1811;26-August-1811;1811;8;14;1811;8;26
;;;;;;;;
Invasi Chola ke Sriwijaya;1-january-1025;;1025;;;;;
;;;;;;;;
Intervensi Belanda di Bali (1858);1-january-1858;;1858;;;;;
;;;;;;;;
Ekspedisi Palembang II;1-january-1821;;1821;;;;;
;;;;;;;;
Peperangan era Napoleon;1-january-1803;1-january-1815;1803;;;1815;;
;;;;;;;;
Perang Pasifik;07-Dec-41;02-Sep-45;1941;12;7;1945;9;2
;;;;;;;;
Perang Belanda-Portugal;1-january-1602;1-january-1663;1602;;;1663;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
